factors,regularization,learning_rate,iterations,Precision@10,Recall@10,MAP@10,NDCG@10
20,0.05,0.01,100,0.012466887417218546,0.062334437086092716,0.02304750735835173,0.03851587514524099
50,0.05,0.01,100,0.01236754966887417,0.06183774834437086,0.023133508094186902,0.03839170346404354
10,0.05,0.01,100,0.012235099337748346,0.06117549668874172,0.022696704509618415,0.03784399720814171
20,0.05,0.01,50,0.01216887417218543,0.06084437086092715,0.021672415378955118,0.03659468204383919
50,0.05,0.01,50,0.011887417218543049,0.05943708609271523,0.02123130847261642,0.035932688541180605
10,0.05,0.01,50,0.011754966887417218,0.058774834437086095,0.02094939162199096,0.035537074313172184
20,0.05,0.05,50,0.011506622516556292,0.05753311258278146,0.020440449910648587,0.034899497014840956
20,0.05,0.05,100,0.011258278145695364,0.056291390728476824,0.019909071796489014,0.034071502013842646
20,0.1,0.01,100,0.01109271523178808,0.055463576158940396,0.020154788184589507,0.03395490390806723
10,0.1,0.01,100,0.01109271523178808,0.055463576158940396,0.020253173289183225,0.033846124452022196
50,0.05,0.05,100,0.01077814569536424,0.05389072847682119,0.019609153263954588,0.03304714538610476
50,0.1,0.01,100,0.010794701986754968,0.05397350993377483,0.019330192893934617,0.03274722721892022
50,0.05,0.05,50,0.010711920529801324,0.053559602649006624,0.01915089877010407,0.03268543347652314
10,0.05,0.05,100,0.010827814569536425,0.05413907284768212,0.018764880952380953,0.03242884794711922
20,0.1,0.01,50,0.009884105960264901,0.049420529801324505,0.018855250709555346,0.03112050838885101
10,0.05,0.05,50,0.010629139072847685,0.05314569536423841,0.017479633133606644,0.030987276090341822
50,0.1,0.01,50,0.010132450331125828,0.05066225165562914,0.017857241406496374,0.030488788917675046
10,0.1,0.01,50,0.010066225165562914,0.05033112582781457,0.017353588510459372,0.029939984271021746
10,0.1,0.05,100,0.009552980132450331,0.047764900662251655,0.01731843924103858,0.02932298134152117
20,0.1,0.05,50,0.009420529801324504,0.04710264900662252,0.017016484021864817,0.02897934933606139
20,0.1,0.05,100,0.009403973509933775,0.04701986754966887,0.016748035582886577,0.02877053675029625
50,0.1,0.05,50,0.009552980132450331,0.047764900662251655,0.016464837590665405,0.028634972107221858
10,0.1,0.05,50,0.008956953642384108,0.04478476821192053,0.015208037685272784,0.026598113466581204
50,0.1,0.05,100,0.00870860927152318,0.0435430463576159,0.015352182539682539,0.026291004630717044
50,0.3,0.01,50,0.007582781456953642,0.03791390728476821,0.01308962078208767,0.0227455850406841
50,0.3,0.01,100,0.007251655629139073,0.03625827814569536,0.012406148165668032,0.021665273986185774
20,0.3,0.01,50,0.007533112582781458,0.03766556291390728,0.011729409755072006,0.02142002741423047
10,0.3,0.01,100,0.0074172185430463585,0.03708609271523179,0.011286430411016504,0.02078264417129333
20,0.3,0.01,100,0.00706953642384106,0.0353476821192053,0.011229008987701041,0.020278775019546297
50,0.3,0.05,50,0.0065728476821192055,0.032864238410596026,0.010795556081152107,0.01930946474693108
10,0.3,0.01,50,0.006754966887417218,0.03377483443708609,0.010583937769368232,0.01923779520756412
10,0.3,0.05,100,0.006473509933774836,0.032367549668874174,0.00971778750131399,0.01808461866849227
50,0.3,0.05,100,0.006357615894039736,0.031788079470198675,0.0091874934300431,0.017502347883352712
20,0.3,0.05,50,0.0059768211920529805,0.0298841059602649,0.009312716808577736,0.017044059416466653
20,0.3,0.05,100,0.005960264900662252,0.029801324503311258,0.009157074529591087,0.016878375525873596
10,0.3,0.05,50,0.005910596026490067,0.02955298013245033,0.008998574319352465,0.01659928967399297
